tstart	tend	srcip	dstip	proto	sport	dport	pkts	bytes
2016-07-08 08:31:02	2016-07-08 08:31:02	10.199.250.2	172.10.1.141	TCP	21	3609	3	189
2016-07-08 08:16:54	2016-07-08 08:16:54	10.199.250.2	172.10.1.143	TCP	21	2389	3	189
2016-07-08 08:15:37	2016-07-08 08:15:37	10.199.250.2	172.10.1.144	TCP	21	2022	2	135
2016-07-08 08:04:18	2016-07-08 08:04:18	10.199.250.2	172.10.1.146	TCP	21	3700	3	189
2016-07-08 09:49:53	2016-07-08 09:49:53	10.199.250.2	172.10.1.152	TCP	21	4384	3	189
2016-07-08 08:44:43	2016-07-08 08:44:43	10.199.250.2	172.10.1.155	TCP	21	1285	3	189
2016-07-08 09:23:16	2016-07-08 09:23:16	10.199.250.2	172.10.1.155	TCP	21	2986	3	189
2016-07-08 11:44:04	2016-07-08 11:44:04	10.199.250.2	172.10.1.155	TCP	21	3841	3	189
2016-07-08 07:47:18	2016-07-08 07:47:18	10.199.250.2	172.10.1.156	TCP	21	2277	2	135
2016-07-08 07:40:26	2016-07-08 07:40:26	10.199.250.2	172.10.1.161	TCP	21	3571	3	189
2016-07-08 10:38:48	2016-07-08 10:38:48	10.199.250.2	172.10.1.163	TCP	21	1820	3	189
2016-07-08 07:40:41	2016-07-08 07:40:41	10.199.250.2	172.10.1.165	TCP	21	2922	3	189
2016-07-08 08:00:19	2016-07-08 08:00:19	10.199.250.2	172.10.1.166	TCP	21	2852	3	189
2016-07-08 09:05:28	2016-07-08 09:05:28	10.199.250.2	172.10.1.170	TCP	21	3118	2	135
2016-07-08 08:19:52	2016-07-08 08:19:52	10.199.250.2	172.10.1.174	TCP	21	2136	3	189
2016-07-08 11:17:49	2016-07-08 11:17:49	10.199.250.2	172.10.1.175	TCP	21	2066	8	822
2016-07-08 08:33:24	2016-07-08 08:33:24	10.199.250.2	172.10.1.178	TCP	21	1550	3	189
2016-07-08 10:13:54	2016-07-08 10:13:54	10.199.250.2	172.10.1.178	TCP	17905	4624	22	29709
2016-07-08 07:53:03	2016-07-08 07:53:03	10.199.250.2	172.10.1.180	TCP	21	2118	3	189
2016-07-08 07:40:19	2016-07-08 07:40:19	10.199.250.2	172.10.1.185	TCP	21	1642	3	189
2016-07-08 10:50:31	2016-07-08 10:50:31	10.199.250.2	172.10.1.187	TCP	21	2834	3	189
2016-07-08 10:01:03	2016-07-08 10:01:03	10.199.250.2	172.10.1.188	TCP	21	3664	3	189
2016-07-08 07:57:01	2016-07-08 07:57:01	10.199.250.2	172.10.1.190	TCP	21	2828	3	189
2016-07-08 07:37:23	2016-07-08 07:37:23	10.199.250.2	172.10.1.191	TCP	21	3559	3	189
2016-07-08 11:11:21	2016-07-08 11:11:21	10.199.250.2	172.10.1.195	TCP	21	2514	3	189
2016-07-08 09:35:38	2016-07-08 09:35:38	10.199.250.2	172.10.1.197	TCP	21	3877	3	189
2016-07-08 08:36:36	2016-07-08 08:36:36	10.199.250.2	172.10.1.200	TCP	21	4273	3	189
2016-07-08 10:13:03	2016-07-08 12:15:03	172.10.0.40	10.199.250.2	TCP	3097	21	20	1277
2016-07-08 15:06:27	2016-07-08 15:06:27	172.10.1.101	10.199.250.2	TCP	1087	11227	14	764
2016-07-08 11:21:40	2016-07-08 11:21:40	172.10.1.101	10.199.250.2	TCP	1368	5504	34	1844
2016-07-08 10:46:11	2016-07-08 10:46:11	172.10.1.101	10.199.250.2	TCP	1410	4607	45	2438
2016-07-08 12:45:40	2016-07-08 12:45:40	172.10.1.101	10.199.250.2	TCP	1440	7646	30	1628
2016-07-08 09:33:37	2016-07-08 09:33:37	172.10.1.101	10.199.250.2	TCP	1633	16891	23	1250
2016-07-08 08:03:23	2016-07-08 08:03:23	172.10.1.101	10.199.250.2	TCP	1634	14601	51	2762
2016-07-08 09:02:34	2016-07-08 09:02:34	172.10.1.101	10.199.250.2	TCP	1647	26204	3	186
2016-07-08 13:56:05	2016-07-08 13:56:05	172.10.1.101	10.199.250.2	TCP	1712	10869	14	764
2016-07-08 09:10:43	2016-07-08 09:10:43	172.10.1.101	10.199.250.2	TCP	1732	16306	14	764
2016-07-08 10:30:11	2016-07-08 10:30:11	172.10.1.101	10.199.250.2	TCP	1820	22569	14	764
2016-07-08 10:34:28	2016-07-08 10:34:28	172.10.1.101	10.199.250.2	TCP	1824	31337	51	2918
2016-07-08 12:23:49	2016-07-08 12:23:49	172.10.1.101	10.199.250.2	TCP	1879	8527	35	1898
2016-07-08 11:41:22	2016-07-08 11:41:22	172.10.1.101	10.199.250.2	TCP	1895	7446	30	1628
2016-07-08 10:54:35	2016-07-08 10:54:35	172.10.1.101	10.199.250.2	TCP	1904	6258	14	764
2016-07-08 10:35:33	2016-07-08 10:35:33	172.10.1.101	10.199.250.2	TCP	1951	5773	44	2384
2016-07-08 10:42:19	2016-07-08 10:42:19	172.10.1.101	10.199.250.2	TCP	1989	4514	14	764
2016-07-08 10:15:49	2016-07-08 10:15:49	172.10.1.101	10.199.250.2	TCP	2017	30862	37	2030
2016-07-08 09:02:19	2016-07-08 09:02:19	172.10.1.101	10.199.250.2	TCP	2027	16098	35	1898
2016-07-08 07:54:39	2016-07-08 07:54:39	172.10.1.101	10.199.250.2	TCP	2055	14375	14	764
2016-07-08 14:50:46	2016-07-08 14:50:46	172.10.1.101	10.199.250.2	TCP	2060	10827	47	2546
2016-07-08 08:27:54	2016-07-08 08:27:54	172.10.1.101	10.199.250.2	TCP	2101	19465	14	764
2016-07-08 07:45:35	2016-07-08 07:45:35	172.10.1.101	10.199.250.2	TCP	2175	33596	3	186
2016-07-08 10:32:52	2016-07-08 10:32:52	172.10.1.101	10.199.250.2	TCP	2176	4270	30	1628
2016-07-08 14:31:09	2016-07-08 14:31:09	172.10.1.101	10.199.250.2	TCP	2281	11761	14	764
2016-07-08 08:39:59	2016-07-08 08:39:59	172.10.1.101	10.199.250.2	TCP	2475	1454	64	3464
2016-07-08 08:20:47	2016-07-08 08:20:47	172.10.1.101	10.199.250.2	TCP	2558	34485	21	1214
2016-07-08 08:07:29	2016-07-08 08:07:29	172.10.1.101	10.199.250.2	TCP	2645	18963	47	2842
2016-07-08 14:42:22	2016-07-08 14:42:22	172.10.1.101	10.199.250.2	TCP	2785	12049	35	1898
2016-07-08 10:29:05	2016-07-08 10:29:05	172.10.1.101	10.199.250.2	TCP	2945	4173	43	2330
2016-07-08 10:39:30	2016-07-08 10:39:30	172.10.1.101	10.199.250.2	TCP	2958	5876	35	1898
2016-07-08 09:52:53	2016-07-08 09:52:53	172.10.1.101	10.199.250.2	TCP	2958	17378	30	1628
2016-07-08 10:49:57	2016-07-08 10:49:57	172.10.1.101	10.199.250.2	TCP	2971	23077	36	2156
2016-07-08 13:40:42	2016-07-08 13:40:42	172.10.1.101	10.199.250.2	TCP	3028	9043	53	2870
2016-07-08 11:14:33	2016-07-08 11:14:33	172.10.1.101	10.199.250.2	TCP	3030	23696	37	2126
2016-07-08 10:15:07	2016-07-08 10:15:07	172.10.1.101	10.199.250.2	TCP	3296	22182	32	1796
2016-07-08 14:20:16	2016-07-08 14:20:16	172.10.1.101	10.199.250.2	TCP	3300	10052	14	764
2016-07-08 13:15:24	2016-07-08 13:15:24	172.10.1.101	10.199.250.2	TCP	3306	9839	30	1628
2016-07-08 09:18:02	2016-07-08 09:18:02	172.10.1.101	10.199.250.2	TCP	3407	21	1900	116464
2016-07-08 08:28:52	2016-07-08 08:28:52	172.10.1.101	10.199.250.2	TCP	3475	25606	59	3594
2016-07-08 15:57:30	2016-07-08 15:57:30	172.10.1.101	10.199.250.2	TCP	3540	12521	14	764
2016-07-08 07:42:42	2016-07-08 07:42:42	172.10.1.101	10.199.250.2	TCP	3547	18352	8	464
2016-07-08 09:23:39	2016-07-08 09:23:39	172.10.1.101	10.199.250.2	TCP	3554	2511	35	1898
2016-07-08 07:53:07	2016-07-08 07:53:07	172.10.1.101	10.199.250.2	TCP	3670	1651	33	1790
2016-07-08 09:51:06	2016-07-08 09:51:06	172.10.1.101	10.199.250.2	TCP	3707	4644	36	1952
2016-07-08 13:21:14	2016-07-08 13:21:14	172.10.1.101	10.199.250.2	TCP	3757	8548	35	1898
2016-07-08 11:45:22	2016-07-08 11:45:22	172.10.1.101	10.199.250.2	TCP	3786	7550	31	1682
2016-07-08 09:11:38	2016-07-08 09:11:38	172.10.1.101	10.199.250.2	TCP	3891	3638	37	2006
2016-07-08 10:25:41	2016-07-08 10:25:41	172.10.1.101	10.199.250.2	TCP	3944	4083	30	1628
2016-07-08 09:07:46	2016-07-08 09:07:46	172.10.1.101	10.199.250.2	TCP	4028	3540	43	2330
2016-07-08 08:30:30	2016-07-08 08:30:30	172.10.1.101	10.199.250.2	TCP	4061	15288	34	1844
2016-07-08 11:22:18	2016-07-08 11:22:18	172.10.1.101	10.199.250.2	TCP	4643	32526	41	2222
2016-07-08 15:41:27	2016-07-08 15:41:27	172.10.1.101	10.199.250.2	TCP	4741	12109	36	1952
2016-07-08 07:43:05	2016-07-08 07:43:05	172.10.1.101	10.199.250.2	TCP	4918	1429	56	3308
2016-07-08 13:32:55	2016-07-08 13:32:55	172.10.1.101	10.199.250.2	TCP	4943	8844	14	764
2016-07-08 10:50:15	2016-07-08 10:50:15	172.10.1.102	10.199.250.2	TCP	1071	4711	30	1628
2016-07-08 08:13:06	2016-07-08 08:13:06	172.10.1.102	10.199.250.2	TCP	1120	19086	64	3904
2016-07-08 10:22:28	2016-07-08 10:22:28	172.10.1.102	10.199.250.2	TCP	1155	31033	51	2930
2016-07-08 16:20:36	2016-07-08 16:20:36	172.10.1.102	10.199.250.2	TCP	1404	13099	43	2330
2016-07-08 13:45:08	2016-07-08 13:45:08	172.10.1.102	10.199.250.2	TCP	1451	9158	33	1790
2016-07-08 09:12:52	2016-07-08 09:12:52	172.10.1.102	10.199.250.2	TCP	1555	2244	31	1682
2016-07-08 09:53:50	2016-07-08 09:53:50	172.10.1.102	10.199.250.2	TCP	1565	30311	35	1898
2016-07-08 09:48:29	2016-07-08 09:48:29	172.10.1.102	10.199.250.2	TCP	1904	3143	30	1628
2016-07-08 09:02:46	2016-07-08 09:02:46	172.10.1.102	10.199.250.2	TCP	1938	26236	14	764
2016-07-08 11:42:08	2016-07-08 11:42:08	172.10.1.102	10.199.250.2	TCP	2105	6029	14	764
2016-07-08 14:14:06	2016-07-08 14:14:06	172.10.1.102	10.199.250.2	TCP	2344	11328	35	1898
2016-07-08 07:47:26	2016-07-08 07:47:26	172.10.1.102	10.199.250.2	TCP	2493	1543	35	2030
2016-07-08 12:18:50	2016-07-08 12:18:50	172.10.1.102	10.199.250.2	TCP	2532	6958	30	1628
2016-07-08 11:22:02	2016-07-08 11:22:02	172.10.1.102	10.199.250.2	TCP	2589	6955	52	2816
2016-07-08 08:33:02	2016-07-08 08:33:02	172.10.1.102	10.199.250.2	TCP	2719	28251	58	3404
2016-07-08 09:20:02	2016-07-08 09:20:02	172.10.1.102	10.199.250.2	TCP	2965	2418	29	1574
2016-07-08 14:12:55	2016-07-08 14:12:55	172.10.1.102	10.199.250.2	TCP	3112	9867	41	2222
2016-07-08 12:30:53	2016-07-08 12:30:53	172.10.1.102	10.199.250.2	TCP	3143	7268	30	1628
2016-07-08 13:34:18	2016-07-08 13:34:18	172.10.1.102	10.199.250.2	TCP	3235	10311	33	1790
2016-07-08 09:06:59	2016-07-08 09:06:59	172.10.1.102	10.199.250.2	TCP	3275	3527	31	1682
2016-07-08 08:59:02	2016-07-08 08:59:02	172.10.1.102	10.199.250.2	TCP	3390	20257	44	2612
2016-07-08 07:38:52	2016-07-08 07:38:52	172.10.1.102	10.199.250.2	TCP	3398	13979	29	1574
2016-07-08 08:25:05	2016-07-08 08:25:05	172.10.1.102	10.199.250.2	TCP	3581	25514	45	2606
2016-07-08 13:41:19	2016-07-08 13:41:19	172.10.1.102	10.199.250.2	TCP	3809	9059	44	2384
2016-07-08 12:11:06	2016-07-08 12:11:06	172.10.1.102	10.199.250.2	TCP	3859	6762	37	2006
2016-07-08 07:48:52	2016-07-08 07:48:52	172.10.1.102	10.199.250.2	TCP	3969	27139	15	818
2016-07-08 11:59:18	2016-07-08 11:59:18	172.10.1.102	10.199.250.2	TCP	4030	6465	14	764
2016-07-08 08:59:14	2016-07-08 08:59:14	172.10.1.102	10.199.250.2	TCP	4091	35462	35	1898
2016-07-08 08:53:06	2016-07-08 08:53:06	172.10.1.102	10.199.250.2	TCP	4413	15859	45	2438
2016-07-08 07:47:49	2016-07-08 07:47:49	172.10.1.102	10.199.250.2	TCP	4449	14212	43	2330
2016-07-08 08:18:57	2016-07-08 08:18:57	172.10.1.102	10.199.250.2	TCP	4571	2312	30	1628
2016-07-08 10:02:04	2016-07-08 10:02:04	172.10.1.102	10.199.250.2	TCP	4594	30516	54	2924
2016-07-08 15:22:51	2016-07-08 15:22:51	172.10.1.102	10.199.250.2	TCP	4655	13064	51	2762
2016-07-08 15:30:04	2016-07-08 15:30:04	172.10.1.102	10.199.250.2	TCP	4675	11832	43	2330
2016-07-08 08:55:20	2016-07-08 08:55:20	172.10.1.102	10.199.250.2	TCP	4826	35366	14	764
2016-07-08 16:12:55	2016-07-08 16:12:55	172.10.1.102	10.199.250.2	TCP	4953	12907	41	2222
2016-07-08 14:22:05	2016-07-08 14:22:05	172.10.1.103	10.199.250.2	TCP	1304	10096	14	764
2016-07-08 14:40:25	2016-07-08 14:40:25	172.10.1.103	10.199.250.2	TCP	1329	11994	31	1682
2016-07-08 08:19:39	2016-07-08 08:19:39	172.10.1.103	10.199.250.2	TCP	1452	2331	52	2816
2016-07-08 13:45:53	2016-07-08 13:45:53	172.10.1.103	10.199.250.2	TCP	1487	10606	48	2600
2016-07-08 08:06:21	2016-07-08 08:06:21	172.10.1.103	10.199.250.2	TCP	1545	14676	51	2762
2016-07-08 09:05:24	2016-07-08 09:05:24	172.10.1.103	10.199.250.2	TCP	1611	20415	14	764
2016-07-08 10:14:10	2016-07-08 10:14:10	172.10.1.103	10.199.250.2	TCP	1663	5231	14	764
2016-07-08 09:19:31	2016-07-08 09:19:31	172.10.1.103	10.199.250.2	TCP	1769	16534	55	2978
2016-07-08 08:35:31	2016-07-08 08:35:31	172.10.1.103	10.199.250.2	TCP	1788	28329	30	1628
2016-07-08 11:30:09	2016-07-08 11:30:09	172.10.1.103	10.199.250.2	TCP	2037	32724	16	884
2016-07-08 12:47:07	2016-07-08 12:47:07	172.10.1.103	10.199.250.2	TCP	2077	9119	30	1628
2016-07-08 10:38:34	2016-07-08 10:38:34	172.10.1.103	10.199.250.2	TCP	2085	31434	40	2372
2016-07-08 15:01:50	2016-07-08 15:01:50	172.10.1.103	10.199.250.2	TCP	2119	11102	14	764
2016-07-08 08:56:36	2016-07-08 08:56:36	172.10.1.103	10.199.250.2	TCP	2185	28856	30	1628
2016-07-08 11:13:42	2016-07-08 11:13:42	172.10.1.103	10.199.250.2	TCP	2350	32327	17	950
2016-07-08 12:50:31	2016-07-08 12:50:31	172.10.1.103	10.199.250.2	TCP	2449	9206	46	2492
2016-07-08 09:49:42	2016-07-08 09:49:42	172.10.1.103	10.199.250.2	TCP	2591	4615	34	1844
2016-07-08 11:17:38	2016-07-08 11:17:38	172.10.1.103	10.199.250.2	TCP	2653	23771	51	3182
2016-07-08 12:04:29	2016-07-08 12:04:29	172.10.1.103	10.199.250.2	TCP	2912	6598	30	1628
2016-07-08 09:37:05	2016-07-08 09:37:05	172.10.1.103	10.199.250.2	TCP	3370	29876	30	1628
2016-07-08 11:04:47	2016-07-08 11:04:47	172.10.1.103	10.199.250.2	TCP	3531	6516	29	1574
2016-07-08 07:57:34	2016-07-08 07:59:34	172.10.1.103	10.199.250.2	TCP	3592	24866	29	1574
2016-07-08 14:58:18	2016-07-08 14:58:18	172.10.1.103	10.199.250.2	TCP	3598	11018	41	2222
2016-07-08 11:30:20	2016-07-08 11:30:20	172.10.1.103	10.199.250.2	TCP	3787	5726	30	1628
2016-07-08 07:26:30	2016-07-08 07:26:30	172.10.1.103	10.199.250.2	TCP	3790	24038	16	908
2016-07-08 10:39:28	2016-07-08 10:39:28	172.10.1.103	10.199.250.2	TCP	3791	4450	43	2330
2016-07-08 09:25:52	2016-07-08 09:25:52	172.10.1.103	10.199.250.2	TCP	3963	20934	14	764
2016-07-08 13:10:13	2016-07-08 13:10:13	172.10.1.103	10.199.250.2	TCP	3977	8269	35	1898
2016-07-08 13:26:58	2016-07-08 13:26:58	172.10.1.103	10.199.250.2	TCP	3988	8693	33	1790
2016-07-08 11:53:46	2016-07-08 11:53:46	172.10.1.103	10.199.250.2	TCP	4204	7757	31	1682
2016-07-08 09:21:47	2016-07-08 09:21:47	172.10.1.103	10.199.250.2	TCP	4210	20828	35	1898
2016-07-08 14:16:58	2016-07-08 14:16:58	172.10.1.103	10.199.250.2	TCP	4370	11404	56	3032
2016-07-08 15:15:32	2016-07-08 15:15:32	172.10.1.103	10.199.250.2	TCP	4531	12884	42	2276
2016-07-08 08:37:23	2016-07-08 08:37:23	172.10.1.103	10.199.250.2	TCP	4560	19716	44	2576
2016-07-08 12:58:42	2016-07-08 12:58:42	172.10.1.103	10.199.250.2	TCP	4587	9411	29	1574
2016-07-08 09:28:45	2016-07-08 09:28:45	172.10.1.103	10.199.250.2	TCP	4635	4080	14	764
2016-07-08 10:14:30	2016-07-08 10:14:30	172.10.1.103	10.199.250.2	TCP	4641	30831	32	1736
2016-07-08 08:50:58	2016-07-08 08:50:58	172.10.1.103	10.199.250.2	TCP	4897	3122	38	2060
2016-07-08 09:08:36	2016-07-08 09:08:36	172.10.1.103	10.199.250.2	TCP	4902	29157	46	2732
2016-07-08 11:09:26	2016-07-08 11:09:26	172.10.1.103	10.199.250.2	TCP	4970	23566	38	2276
2016-07-08 07:58:38	2016-07-08 07:58:38	172.10.1.104	10.199.250.2	TCP	1172	33933	3	186
2016-07-08 10:30:09	2016-07-08 10:30:09	172.10.1.104	10.199.250.2	TCP	1243	31228	14	764
2016-07-08 12:40:11	2016-07-08 12:40:11	172.10.1.104	10.199.250.2	TCP	1245	7505	50	2708
2016-07-08 13:32:26	2016-07-08 13:32:26	172.10.1.104	10.199.250.2	TCP	1365	10274	32	1736
2016-07-08 10:07:06	2016-07-08 10:07:06	172.10.1.104	10.199.250.2	TCP	1387	30643	48	2600
2016-07-08 10:55:38	2016-07-08 10:55:38	172.10.1.104	10.199.250.2	TCP	1399	23215	61	3750
2016-07-08 15:37:03	2016-07-08 15:37:03	172.10.1.104	10.199.250.2	TCP	1452	12005	33	1790
2016-07-08 09:55:12	2016-07-08 09:55:12	172.10.1.104	10.199.250.2	TCP	1528	3313	29	1574
2016-07-08 10:03:15	2016-07-08 10:03:15	172.10.1.104	10.199.250.2	TCP	1603	30544	31	1730
2016-07-08 12:59:01	2016-07-08 12:59:01	172.10.1.104	10.199.250.2	TCP	1689	7988	39	2114
2016-07-08 11:20:47	2016-07-08 11:20:47	172.10.1.104	10.199.250.2	TCP	1730	21	15	882
2016-07-08 12:32:29	2016-07-08 12:32:29	172.10.1.104	10.199.250.2	TCP	1774	7306	30	1628
2016-07-08 08:50:31	2016-07-08 08:50:31	172.10.1.104	10.199.250.2	TCP	1887	15800	14	764
2016-07-08 12:51:19	2016-07-08 12:51:19	172.10.1.104	10.199.250.2	TCP	1918	7792	14	764
2016-07-08 07:54:42	2016-07-08 07:54:42	172.10.1.104	10.199.250.2	TCP	2066	1701	43	2330
2016-07-08 13:58:02	2016-07-08 13:58:02	172.10.1.104	10.199.250.2	TCP	2087	9483	37	2006
2016-07-08 12:09:43	2016-07-08 12:09:43	172.10.1.104	10.199.250.2	TCP	2135	6726	14	764
2016-07-08 08:26:40	2016-07-08 08:26:40	172.10.1.104	10.199.250.2	TCP	2182	2506	48	2600
2016-07-08 09:02:30	2016-07-08 09:02:30	172.10.1.104	10.199.250.2	TCP	2239	16102	47	2546
2016-07-08 10:03:38	2016-07-08 10:03:38	172.10.1.104	10.199.250.2	TCP	2378	3531	14	764
2016-07-08 11:26:41	2016-07-08 11:26:41	172.10.1.104	10.199.250.2	TCP	2522	21	274	16737
2016-07-08 10:39:08	2016-07-08 10:39:08	172.10.1.104	10.199.250.2	TCP	2555	5865	32	1736
2016-07-08 10:16:02	2016-07-08 10:16:02	172.10.1.104	10.199.250.2	TCP	2663	3849	33	1790
2016-07-08 09:25:18	2016-07-08 09:25:18	172.10.1.104	10.199.250.2	TCP	2683	29590	14	764
2016-07-08 07:34:54	2016-07-08 07:34:54	172.10.1.104	10.199.250.2	TCP	2806	26785	16	896
2016-07-08 14:03:11	2016-07-08 14:03:11	172.10.1.104	10.199.250.2	TCP	2950	11044	34	1844
2016-07-08 07:55:20	2016-07-08 07:55:20	172.10.1.104	10.199.250.2	TCP	2980	14407	14	764
2016-07-08 12:57:31	2016-07-08 12:57:31	172.10.1.104	10.199.250.2	TCP	2986	9379	14	764
2016-07-08 10:42:59	2016-07-08 10:42:59	172.10.1.104	10.199.250.2	TCP	3036	31544	44	2396
2016-07-08 10:39:23	2016-07-08 10:39:23	172.10.1.104	10.199.250.2	TCP	3092	22806	52	2996
2016-07-08 12:05:59	2016-07-08 12:05:59	172.10.1.104	10.199.250.2	TCP	3105	8075	14	764
2016-07-08 07:46:30	2016-07-08 07:46:30	172.10.1.104	10.199.250.2	TCP	3154	33646	14	764
2016-07-08 07:47:23	2016-07-08 07:47:23	172.10.1.104	10.199.250.2	TCP	3194	24612	68	4096
2016-07-08 12:44:12	2016-07-08 12:44:12	172.10.1.104	10.199.250.2	TCP	3240	7607	56	3032
2016-07-08 14:57:55	2016-07-08 14:57:55	172.10.1.104	10.199.250.2	TCP	3367	11005	14	764
2016-07-08 08:07:36	2016-07-08 08:07:36	172.10.1.104	10.199.250.2	TCP	3371	14706	38	2060
2016-07-08 11:26:41	2016-07-08 11:26:41	172.10.1.104	10.199.250.2	TCP	3504	5633	30	1628
2016-07-08 13:44:02	2016-07-08 13:44:02	172.10.1.104	10.199.250.2	TCP	3776	10566	39	2114
2016-07-08 11:37:24	2016-07-08 11:37:24	172.10.1.104	10.199.250.2	TCP	3940	7345	30	1628
2016-07-08 07:34:55	2016-07-08 07:34:55	172.10.1.104	10.199.250.2	TCP	4152	47213	46	2492
2016-07-08 12:17:19	2016-07-08 12:17:19	172.10.1.104	10.199.250.2	TCP	4191	8366	30	1628
2016-07-08 08:53:30	2016-07-08 08:53:30	172.10.1.104	10.199.250.2	TCP	4459	25960	35	2042
2016-07-08 08:53:33	2016-07-08 08:53:33	172.10.1.104	10.199.250.2	TCP	4512	25964	14	764
2016-07-08 08:31:53	2016-07-08 08:31:53	172.10.1.104	10.199.250.2	TCP	4563	25643	45	2594
2016-07-08 13:03:13	2016-07-08 13:03:13	172.10.1.104	10.199.250.2	TCP	4596	8096	45	2438
2016-07-08 07:59:11	2016-07-08 07:59:11	172.10.1.104	10.199.250.2	TCP	4620	18764	14	764
2016-07-08 10:33:44	2016-07-08 10:33:44	172.10.1.104	10.199.250.2	TCP	4822	31321	18	980
2016-07-08 16:12:35	2016-07-08 16:12:35	172.10.1.104	10.199.250.2	TCP	4824	12899	31	1682
2016-07-08 10:58:56	2016-07-08 10:58:56	172.10.1.104	10.199.250.2	TCP	4971	4940	43	2330
2016-07-08 11:34:46	2016-07-08 11:34:46	172.10.1.104	10.199.250.2	TCP	4982	5841	30	1628
2016-07-08 09:47:57	2016-07-08 09:47:57	172.10.1.105	10.199.250.2	TCP	1054	4560	51	2762
2016-07-08 08:13:36	2016-07-08 08:13:36	172.10.1.105	10.199.250.2	TCP	1389	2158	14	764
2016-07-08 08:02:10	2016-07-08 08:02:10	172.10.1.105	10.199.250.2	TCP	1389	34018	35	2066
2016-07-08 07:51:19	2016-07-08 07:51:19	172.10.1.105	10.199.250.2	TCP	1507	21	27	1630
2016-07-08 07:27:22	2016-07-08 07:27:22	172.10.1.105	10.199.250.2	TCP	1567	26610	8	452
2016-07-08 07:49:14	2016-07-08 07:49:14	172.10.1.105	10.199.250.2	TCP	1672	24642	3	186
2016-07-08 08:03:30	2016-07-08 08:03:30	172.10.1.105	10.199.250.2	TCP	1765	14604	52	2816
2016-07-08 07:40:40	2016-07-08 07:40:40	172.10.1.105	10.199.250.2	TCP	1786	1362	35	2042
2016-07-08 09:02:46	2016-07-08 09:02:46	172.10.1.105	10.199.250.2	TCP	1911	26233	46	2744
2016-07-08 09:24:32	2016-07-08 09:24:32	172.10.1.105	10.199.250.2	TCP	2122	29565	29	1574
2016-07-08 07:32:33	2016-07-08 07:32:33	172.10.1.105	10.199.250.2	TCP	2140	33273	36	2024
2016-07-08 14:31:03	2016-07-08 14:31:03	172.10.1.105	10.199.250.2	TCP	2184	11758	14	764
2016-07-08 08:17:10	2016-07-08 08:17:10	172.10.1.105	10.199.250.2	TCP	2374	2250	43	2330
2016-07-08 09:40:26	2016-07-08 09:40:26	172.10.1.105	10.199.250.2	TCP	2494	4371	29	1574
2016-07-08 08:35:01	2016-07-08 08:35:01	172.10.1.105	10.199.250.2	TCP	2694	1285	34	1844
2016-07-08 08:06:32	2016-07-08 08:06:32	172.10.1.105	10.199.250.2	TCP	2749	21	95	5795
2016-07-08 10:11:37	2016-07-08 10:11:37	172.10.1.105	10.199.250.2	TCP	3009	5164	29	1574
2016-07-08 07:14:50	2016-07-08 07:14:50	172.10.1.105	10.199.250.2	TCP	3035	32861	57	3278
2016-07-08 14:26:52	2016-07-08 14:26:52	172.10.1.105	10.199.250.2	TCP	3194	11651	14	764
2016-07-08 09:21:23	2016-07-08 09:21:23	172.10.1.105	10.199.250.2	TCP	3211	16578	14	764
