firstseen	srcip	dstip	sport	dport	pkts	bytes
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	6064	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	39297	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	61748	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	53766	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	19338	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1968	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	41776	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	20774	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	38307	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	59740	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	7392	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	63255	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	53179	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	16386	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	54693	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	44222	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	22594	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	62914	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	3452	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1886	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	45293	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	40579	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	53272	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	20678	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	34935	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1842	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	41960	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	60367	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	15406	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	53942	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	64422	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	29753	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	43886	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	23637	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	41243	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	14498	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	9672	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	16892	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	48479	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	18636	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	40510	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	2872	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	51071	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	40378	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	23770	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	30281	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	4605	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31760	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	5506	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	29186	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	25732	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	18623	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	26822	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	6148	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	7148	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	25300	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	12024	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	16677	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	17067	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	58288	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	35399	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	46618	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	31539	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	32587	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	18005	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	16790	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	57669	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	63191	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1000	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	52449	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	50892	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	53609	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	34586	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	28761	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	61801	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	28436	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	5002	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	36207	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	3133	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	30652	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31559	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	11298	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	5673	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	24171	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8719	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	36622	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	53266	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	28876	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	3912	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48828	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	30260	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	26500	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	30065	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	24894	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	2480	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8422	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	57434	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	37193	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	18060	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	19743	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48910	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	39070	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	52237	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	46163	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	20822	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	14239	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	30188	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	1130	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31697	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	10188	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	32626	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	56454	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	57007	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	32706	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	58496	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	36191	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	65280	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	56103	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	29330	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	26080	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	4158	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	30498	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	6432	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	8870	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	57699	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	49418	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	27072	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	59384	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	46790	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	18919	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	34356	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8609	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	3545	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	12941	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	20672	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	27821	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31176	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	58142	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	539	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	59461	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	40436	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	18167	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	37705	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	53861	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	44864	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	26387	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	28598	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	29802	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48823	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	11552	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8374	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	32930	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	61952	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	9671	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	44349	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	36455	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	15662	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	50943	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	38425	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	4337	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	33877	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	23110	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	14623	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	38303	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	22931	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	38748	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	28423	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	65174	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	10904	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	57991	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	41603	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	54955	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	15994	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	3975	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	18695	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	57970	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	24360	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	62152	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	722	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1983	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	47585	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	9713	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	47286	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	50577	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	27296	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	35897	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	59754	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	65061	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	60347	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	57221	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	51749	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	32822	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	37652	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	53838	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	49537	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	49176	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	12897	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	956	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	24305	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	13673	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	15290	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	60103	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	16951	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	37643	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	9252	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	55597	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	58594	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48706	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	59171	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	50505	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	4090	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	58911	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	49975	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	11917	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	3969	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	53900	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	51202	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	40219	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	35197	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	7966	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	45164	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	64547	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	46117	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	21681	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	22458	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	64880	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	29325	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	58650	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	60141	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	197	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	11319	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	89	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	64967	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	17234	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	62009	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31202	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	14541	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	24628	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	25002	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	38305	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	57865	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	49042	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	59348	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	34283	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	58276	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	53445	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	60616	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	12609	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	2749	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	24727	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	63937	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	57960	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	53529	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	15011	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	31158	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	56690	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8664	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	45857	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	51700	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48089	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	35229	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	15148	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48064	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	8677	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	44705	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	37290	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	51576	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	48503	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	65208	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	35868	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	21773	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	24247	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	37926	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	63373	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	49696	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	29923	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	15551	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	36198	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	37597	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	1646	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	8900	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	37497	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	64648	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	33240	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51358	52241	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51357	34599	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	23236	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	52905	0	0
2013-04-06 11:19:52	10.9.81.5	172.30.0.2	51359	64683	0	0
