lda_score_MIN,from_IP,to_IP
7.33E-07,10.0.3.77,172.20.0.3
7.47E-07,10.17.15.10,172.10.0.9
7.47E-07,10.12.15.152,172.30.0.6
7.47E-07,10.138.235.111,172.10.0.9
7.47E-07,10.12.15.152,172.30.0.7
7.49E-07,10.13.77.49,172.10.0.8
7.51E-07,10.0.0.7,172.30.1.226
7.72E-07,172.10.0.50,172.255.255.255
7.74E-07,10.0.0.10,172.30.1.18
7.75E-07,10.0.0.5,172.10.2.115
7.75E-07,10.0.0.12,172.10.1.23
7.76E-07,10.199.250.2,172.10.1.173
7.76E-07,10.199.250.2,172.10.1.167
7.76E-07,10.199.250.2,172.10.1.147
7.76E-07,10.199.250.2,172.10.1.103
7.76E-07,10.0.0.13,172.20.2.11
7.76E-07,10.199.250.2,172.10.1.105
7.76E-07,10.199.250.2,172.10.1.110
7.76E-07,172.10.0.3,224.0.0.252
7.76E-07,10.199.250.2,172.10.1.141
7.76E-07,10.199.250.2,172.10.1.179
7.76E-07,10.199.250.2,172.10.1.119
7.77E-07,172.0.0.1,172.10.1.168
7.77E-07,10.199.250.2,172.10.1.138
7.77E-07,10.199.250.2,172.10.1.171
7.77E-07,10.199.250.2,172.10.1.146
7.77E-07,10.199.250.2,172.10.1.192
7.77E-07,10.199.250.2,172.10.1.174
7.77E-07,10.199.250.2,172.10.1.177
7.77E-07,10.199.250.2,172.10.1.136
7.77E-07,10.199.250.2,172.10.1.112
7.77E-07,10.0.0.10,172.20.1.221
7.77E-07,10.199.250.2,172.10.1.137
7.77E-07,10.199.250.2,172.10.1.178
7.77E-07,10.199.250.2,172.10.1.183
7.77E-07,10.199.250.2,172.10.1.155
7.77E-07,10.199.250.2,172.10.1.109
7.77E-07,10.199.250.2,172.10.1.198
7.77E-07,10.199.250.2,172.10.1.117
7.77E-07,10.199.250.2,172.10.1.113
7.77E-07,10.199.250.2,172.10.1.185
7.77E-07,10.199.250.2,172.10.1.157
7.77E-07,172.0.0.1,172.10.1.160
7.77E-07,10.199.250.2,172.10.1.189
7.77E-07,10.199.250.2,172.10.1.165
7.77E-07,10.199.250.2,172.10.1.166
7.77E-07,10.199.250.2,172.10.1.129
7.77E-07,10.0.0.8,172.20.1.234
7.77E-07,10.199.250.2,172.10.1.142
7.77E-07,10.199.250.2,172.10.1.162
7.77E-07,10.199.250.2,172.10.1.156
7.77E-07,10.199.250.2,172.10.1.199
7.77E-07,10.199.250.2,172.10.1.154
7.77E-07,10.199.250.2,172.10.1.135
7.77E-07,172.0.0.1,172.10.1.104
7.77E-07,10.199.250.2,172.10.1.130
7.77E-07,10.199.250.2,172.10.1.186
7.77E-07,10.199.250.2,172.10.1.200
7.77E-07,10.199.250.2,172.10.1.139
7.77E-07,10.199.250.2,172.10.1.121
7.77E-07,10.199.250.2,172.10.1.144
7.77E-07,10.199.250.2,172.10.1.184
7.77E-07,10.199.250.2,172.10.1.108
7.77E-07,10.199.250.2,172.10.1.111
7.77E-07,10.199.250.2,172.10.1.193
7.77E-07,10.199.250.2,172.10.1.168
7.77E-07,10.199.250.2,172.10.1.170
7.77E-07,10.199.250.2,172.10.1.151
7.77E-07,10.199.250.2,172.10.1.191
7.77E-07,10.199.250.2,172.10.1.123
7.77E-07,10.199.250.2,172.10.1.118
7.77E-07,10.199.250.2,172.10.1.102
7.77E-07,10.199.250.2,172.10.1.126
7.77E-07,10.199.250.2,172.10.1.106
7.77E-07,10.199.250.2,172.10.1.181
7.77E-07,10.1.0.75,172.10.1.161
7.77E-07,10.199.250.2,172.10.1.152
7.77E-07,10.199.250.2,172.10.1.188
7.77E-07,10.199.250.2,172.10.1.153
7.77E-07,10.199.250.2,172.10.1.182
7.77E-07,10.199.250.2,172.10.1.163
7.77E-07,10.199.250.2,172.10.1.124
7.77E-07,10.199.250.2,172.10.1.161
7.77E-07,10.199.250.2,172.10.1.122
7.77E-07,10.199.250.2,172.10.1.195
7.77E-07,10.199.250.2,172.10.1.114
7.77E-07,10.199.250.2,172.10.1.176
7.77E-07,10.199.250.2,172.10.1.197
7.77E-07,10.199.250.2,172.10.1.150
7.77E-07,10.199.250.2,172.10.1.134
7.77E-07,10.199.250.2,172.10.1.172
7.77E-07,10.199.250.2,172.10.1.180
7.77E-07,10.199.250.2,172.10.1.115
7.77E-07,10.199.250.2,172.10.1.159
7.77E-07,10.199.250.2,172.10.1.127
7.77E-07,10.199.250.2,172.10.1.190
7.77E-07,10.199.250.2,172.10.1.143
7.77E-07,10.199.250.2,172.10.1.104
7.77E-07,10.199.250.2,172.10.1.101
7.77E-07,10.199.250.2,172.10.1.133
7.77E-07,10.199.250.2,172.10.1.175
7.77E-07,10.199.250.2,172.10.1.164
7.77E-07,10.199.250.2,172.10.1.131
7.77E-07,10.199.250.2,172.10.1.149
7.77E-07,10.199.250.2,172.10.1.160
7.77E-07,10.199.250.2,172.10.1.196
7.77E-07,10.199.250.2,172.10.1.125
7.77E-07,10.199.250.2,172.10.1.132
7.77E-07,10.199.250.2,172.10.1.187
7.77E-07,10.199.250.2,172.10.1.158
7.77E-07,10.199.250.2,172.10.1.120
7.77E-07,10.199.250.2,172.10.1.116
7.77E-07,10.199.250.2,172.10.1.194
7.77E-07,10.199.250.2,172.10.1.140
7.77E-07,10.199.250.2,172.10.1.107
7.77E-07,10.199.250.2,172.10.1.128
7.77E-07,10.199.250.2,172.10.1.169
7.77E-07,10.199.250.2,172.10.1.145
7.77E-07,10.199.250.2,172.10.1.148
7.78E-07,10.170.148.52,172.20.0.3
7.78E-07,10.76.193.186,172.20.0.3
7.80E-07,169.254.192.72,172.20.0.3
7.80E-07,10.43.51.79,172.10.0.3
7.80E-07,172.30.0.3,172.30.1.94
7.80E-07,10.3.1.25,172.20.0.3
8.11E-07,10.12.14.15,172.20.0.15
8.11E-07,10.12.14.15,172.20.0.5
8.20E-07,10.12.15.152,172.20.0.15
8.21E-07,10.13.77.49,172.20.0.2
8.21E-07,10.13.77.49,172.20.0.4
8.55E-07,10.138.235.111,172.10.0.3
8.62E-07,10.17.15.10,172.10.0.2
8.67E-07,10.138.235.111,172.20.0.3
9.16E-07,10.6.6.7,172.10.0.3
9.35E-07,10.250.178.101,172.30.0.4
9.73E-07,10.6.6.7,172.30.0.3
9.89E-07,10.6.6.7,172.10.0.4
1.03E-06,10.247.58.182,172.10.0.4
1.05E-06,10.138.235.111,172.10.0.4
1.14E-06,10.156.165.120,172.30.0.4
1.20E-06,10.6.6.7,172.20.0.4
1.20E-06,10.6.6.7,172.20.0.15
1.23E-06,10.156.165.212,172.30.0.4
1.32E-06,10.12.15.152,172.20.0.2
1.37E-06,10.12.15.152,172.10.0.7
1.37E-06,10.12.15.152,172.10.0.9
1.39E-06,10.156.165.120,172.20.0.4
1.43E-06,10.138.121.140,172.20.0.6
1.43E-06,10.0.3.77,172.30.0.7
1.48E-06,10.13.77.49,172.10.0.5
1.48E-06,10.13.77.49,172.20.0.6
1.48E-06,10.13.77.49,172.10.0.9
1.48E-06,10.13.77.49,172.10.0.7
1.49E-06,10.0.0.6,172.30.2.45
1.49E-06,10.1.0.76,172.10.1.123
1.49E-06,10.0.0.11,172.20.2.115
1.49E-06,10.0.0.6,172.10.2.67
1.49E-06,172.20.0.3,224.0.0.252
1.49E-06,10.0.0.9,172.30.1.61
1.49E-06,10.12.14.15,172.20.0.4
1.49E-06,10.0.0.14,172.30.1.25
1.49E-06,172.0.0.1,172.10.0.3
1.51E-06,10.170.32.110,172.20.0.15
1.55E-06,10.138.235.111,172.20.0.5
1.59E-06,10.0.0.6,172.20.1.81
1.60E-06,10.6.6.7,172.30.0.7
1.72E-06,10.170.32.110,172.20.0.4
1.81E-06,10.0.0.12,172.10.2.135
1.82E-06,10.12.15.152,172.10.0.8
1.82E-06,10.12.15.152,172.20.0.6
1.82E-06,10.0.0.9,172.30.1.218
1.88E-06,10.57.105.222,172.30.0.4
1.96E-06,10.0.3.178,172.30.0.4
2.07E-06,10.12.15.152,172.30.0.3
2.14E-06,10.0.0.9,172.30.1.229
2.19E-06,10.17.15.10,172.10.0.8
2.19E-06,10.17.15.10,172.20.0.6
2.19E-06,10.0.0.7,172.30.2.58
2.19E-06,10.0.0.7,172.30.1.154
2.19E-06,10.0.0.8,172.10.1.79
2.19E-06,10.1.0.76,172.10.1.77
2.19E-06,10.0.0.5,172.10.1.64
2.19E-06,10.0.0.6,172.10.1.20
2.19E-06,10.17.15.10,172.10.0.5
2.19E-06,10.17.15.10,172.10.0.7
2.19E-06,10.0.0.10,172.20.1.128
2.19E-06,10.0.0.10,172.10.1.65
2.20E-06,10.0.0.12,172.10.1.117
2.20E-06,10.0.0.6,172.20.1.41
2.20E-06,172.0.0.1,172.10.1.192
2.20E-06,10.1.0.77,172.10.1.153
2.20E-06,10.0.0.13,172.10.2.62
2.20E-06,10.0.0.7,172.10.1.157
2.30E-06,10.0.0.9,172.30.1.223
2.32E-06,10.0.0.11,172.10.2.135
2.33E-06,10.138.235.111,172.10.0.7
2.33E-06,10.138.235.111,172.10.0.5
2.33E-06,10.138.235.111,172.10.0.8
2.40E-06,10.6.6.7,172.10.0.7
2.40E-06,10.6.6.7,172.20.0.6
2.40E-06,10.6.6.7,172.10.0.8
2.40E-06,10.6.6.7,172.10.0.9
2.41E-06,172.30.1.218,239.255.255.250
2.41E-06,172.30.1.223,239.255.255.250
2.41E-06,172.20.1.23,239.255.255.250
2.48E-06,172.10.0.40,172.255.255.255
2.59E-06,10.6.6.7,172.30.0.5
2.59E-06,10.6.6.7,172.30.0.6
2.63E-06,10.17.15.10,172.10.0.4
2.72E-06,10.12.15.152,172.10.0.4
2.89E-06,172.10.0.50,239.255.255.250
2.90E-06,172.0.0.1,172.10.0.2
2.91E-06,10.0.0.12,172.10.1.194
2.91E-06,10.0.0.7,172.10.1.190
2.91E-06,172.0.0.1,172.20.0.2
2.91E-06,10.0.0.5,172.10.1.141
2.91E-06,10.0.0.13,172.10.1.199
2.99E-06,10.0.0.6,172.10.2.135
2.99E-06,10.0.0.10,172.10.2.106
2.99E-06,10.0.0.10,172.20.1.81
2.99E-06,10.0.0.5,172.10.2.66
2.99E-06,10.0.0.9,172.10.2.106
3.01E-06,10.27.200.49,172.10.0.4
3.01E-06,10.18.37.65,172.20.0.4
3.01E-06,10.170.121.155,172.10.0.4
3.01E-06,10.76.187.67,172.30.0.4
3.27E-06,10.138.235.111,172.20.0.6
3.45E-06,10.83.101.25,172.20.0.3
3.46E-06,10.18.37.65,172.20.0.3
3.54E-06,10.0.0.6,172.30.1.247
3.56E-06,10.6.6.7,172.30.0.4
3.58E-06,10.0.0.12,172.10.2.106
3.58E-06,10.0.0.11,172.20.1.47
3.58E-06,10.0.0.13,172.10.2.66
3.58E-06,10.0.0.12,172.10.2.66
3.59E-06,10.0.0.10,172.30.1.218
3.59E-06,10.0.0.12,172.30.1.223
3.61E-06,10.0.0.5,172.10.2.32
3.61E-06,10.0.0.11,172.20.1.123
3.61E-06,10.76.187.68,172.20.0.3
3.61E-06,10.0.0.8,172.30.1.181
3.61E-06,10.38.37.13,172.20.0.3
3.61E-06,10.0.0.14,172.20.1.97
3.61E-06,10.57.105.44,172.20.0.3
3.61E-06,10.0.0.11,172.10.2.56
3.61E-06,10.0.0.11,172.10.2.116
3.61E-06,10.0.0.6,172.10.2.117
3.61E-06,10.1.0.77,172.10.1.38
3.61E-06,10.0.0.8,172.30.2.138
3.61E-06,10.0.0.10,172.10.2.129
3.61E-06,10.0.0.8,172.10.2.99
3.61E-06,10.0.0.14,172.10.1.65
3.61E-06,10.0.0.13,172.20.2.124
4.03E-06,10.12.15.152,172.30.0.2
4.28E-06,10.138.235.111,172.20.0.4
4.28E-06,10.138.235.111,172.20.0.15
4.32E-06,10.0.0.8,172.20.1.2
4.32E-06,10.0.0.13,172.10.2.22
4.32E-06,10.1.0.77,172.10.1.218
4.32E-06,10.0.0.11,172.10.1.62
4.32E-06,10.0.0.6,172.30.1.131
4.32E-06,10.0.0.11,172.10.1.121
4.32E-06,10.0.0.7,172.20.1.182
4.32E-06,10.0.0.7,172.30.1.156
4.32E-06,10.0.0.12,172.10.2.60
4.32E-06,10.0.0.9,172.30.1.22
4.45E-06,10.247.58.182,172.20.0.4
4.74E-06,10.77.101.2,172.20.0.15
4.97E-06,172.255.255.255,172.30.0.3
4.97E-06,172.20.0.3,172.255.255.255
4.97E-06,172.10.0.3,172.255.255.255
5.08E-06,10.0.0.7,172.30.1.223
5.13E-06,10.0.0.14,172.30.1.223
5.73E-06,10.1.0.75,172.10.1.43
5.73E-06,10.0.0.8,172.20.1.7
5.74E-06,10.1.0.77,172.10.2.29
5.74E-06,10.0.0.8,172.10.2.33
5.74E-06,10.0.0.8,172.20.2.115
5.74E-06,10.0.0.6,172.10.2.33
5.74E-06,10.1.0.75,172.10.2.29
5.84E-06,10.12.15.152,172.30.0.5
5.84E-06,10.12.15.152,172.20.0.5
5.89E-06,10.0.0.7,172.20.1.81
5.89E-06,10.0.0.7,172.10.2.66
5.90E-06,172.0.0.1,172.30.0.3
6.16E-06,10.0.0.5,172.20.1.47
6.20E-06,10.78.90.30,172.10.0.4
6.34E-06,10.0.0.6,172.30.1.22
6.34E-06,10.0.0.14,172.30.1.218
6.34E-06,10.0.0.6,172.20.1.23
6.34E-06,10.0.0.6,172.20.1.47
6.56E-06,10.0.0.10,172.20.1.23
6.73E-06,10.0.0.9,172.20.1.47
6.74E-06,10.0.0.8,172.20.1.23
6.97E-06,10.38.217.48,172.20.0.4
7.43E-06,10.77.24.4,172.10.0.4
7.54E-06,172.10.0.2,172.255.255.255
7.78E-06,172.10.0.8,224.0.0.252
7.78E-06,172.30.0.8,224.0.0.252
7.78E-06,172.30.0.6,224.0.0.252
7.78E-06,172.10.0.7,224.0.0.252
7.78E-06,172.30.0.5,224.0.0.252
7.78E-06,172.10.0.5,224.0.0.252
7.78E-06,172.10.0.9,224.0.0.252
7.78E-06,172.30.0.7,224.0.0.252
7.84E-06,172.10.0.2,224.0.0.252
7.88E-06,172.30.0.3,224.0.0.252
8.55E-06,10.12.15.152,172.30.0.4
9.08E-06,10.12.15.152,172.20.0.4
9.28E-06,10.1.0.77,172.10.1.173
9.28E-06,10.1.0.76,172.10.1.131
9.28E-06,10.1.0.76,172.10.1.182
9.28E-06,10.1.0.100,172.10.1.110
9.28E-06,10.0.0.13,172.10.1.141
9.28E-06,10.0.0.8,172.10.1.194
9.28E-06,10.0.0.7,172.10.1.180
9.28E-06,10.0.0.8,172.10.1.135
9.28E-06,10.0.0.11,172.10.1.181
9.29E-06,10.0.0.5,172.10.1.191
9.29E-06,10.0.0.14,172.10.1.199
9.29E-06,10.0.0.14,172.10.1.188
9.29E-06,10.0.0.6,172.10.1.121
9.42E-06,10.0.0.5,172.10.2.110
9.88E-06,172.20.0.8,224.0.0.252
9.88E-06,172.20.0.5,224.0.0.252
9.88E-06,172.20.0.7,224.0.0.252
9.88E-06,172.20.0.6,224.0.0.252
1.00E-05,10.0.0.14,172.10.2.106
1.00E-05,10.0.0.8,172.10.2.66
1.00E-05,10.0.0.9,172.10.2.66
1.00E-05,10.0.0.5,172.10.2.106
1.00E-05,10.0.0.10,172.10.2.135
1.00E-05,10.0.0.7,172.20.1.23
1.00E-05,10.0.0.11,172.10.2.106
1.00E-05,10.0.0.5,172.10.2.135
1.01E-05,10.0.0.6,172.30.1.223
1.01E-05,10.0.0.5,172.30.1.223
1.01E-05,10.0.0.13,172.30.1.218
1.01E-05,10.0.0.8,172.30.1.223
1.06E-05,172.10.2.135,239.255.255.250
1.06E-05,172.20.1.81,239.255.255.250
1.06E-05,10.0.0.7,172.20.1.47
1.06E-05,10.0.0.14,172.20.1.47
1.06E-05,10.0.0.5,172.20.1.81
1.06E-05,10.0.0.10,172.10.2.66
1.06E-05,10.0.0.12,172.20.1.47
1.06E-05,172.10.2.66,239.255.255.250
1.06E-05,172.10.2.106,239.255.255.250
1.06E-05,172.20.1.47,239.255.255.250
1.07E-05,10.0.0.8,172.30.1.218
1.08E-05,10.0.0.7,172.20.1.207
1.08E-05,10.0.0.7,172.10.2.9
1.08E-05,10.0.0.7,172.30.2.74
1.08E-05,10.0.0.7,172.20.1.230
1.08E-05,10.0.0.7,172.10.2.122
1.08E-05,10.0.0.7,172.30.1.245
1.08E-05,10.0.0.7,172.10.1.95
1.08E-05,10.0.0.7,172.30.1.4
1.08E-05,10.0.0.7,172.30.1.11
1.08E-05,10.0.0.7,172.30.2.32
1.08E-05,10.0.0.7,172.30.2.27
1.08E-05,10.0.0.7,172.30.1.70
1.08E-05,10.0.0.7,172.30.1.19
1.08E-05,10.0.0.7,172.10.1.229
1.08E-05,10.0.0.7,172.20.1.45
1.08E-05,10.0.0.7,172.30.1.117
1.08E-05,10.0.0.7,172.10.2.126
1.08E-05,10.0.0.7,172.20.2.9
1.08E-05,10.0.0.7,172.10.1.3
1.08E-05,10.0.0.7,172.10.2.77
1.08E-05,10.0.0.7,172.20.1.232
1.08E-05,10.0.0.7,172.10.1.252
1.08E-05,10.0.0.7,172.20.1.107
1.08E-05,10.0.0.7,172.10.1.17
1.08E-05,10.0.0.7,172.20.1.24
1.08E-05,10.0.0.7,172.30.2.144
1.08E-05,10.0.0.7,172.20.2.72
1.08E-05,10.0.0.7,172.30.1.140
1.08E-05,10.0.0.7,172.20.1.2
1.08E-05,10.0.0.7,172.10.1.243
1.08E-05,10.0.0.7,172.10.2.79
1.08E-05,10.0.0.7,172.30.1.128
1.08E-05,10.0.0.7,172.30.1.40
1.08E-05,10.0.0.7,172.20.2.34
1.08E-05,10.0.0.7,172.10.1.124
1.08E-05,10.0.0.7,172.30.1.93
1.08E-05,10.0.0.7,172.20.2.103
1.08E-05,10.0.0.7,172.30.1.44
1.08E-05,10.0.0.7,172.20.1.139
1.08E-05,10.0.0.7,172.30.1.203
1.08E-05,10.0.0.7,172.30.1.45
1.08E-05,10.0.0.7,172.20.2.139
1.08E-05,10.0.0.7,172.20.1.193
1.08E-05,10.0.0.7,172.30.1.225
1.08E-05,10.0.0.7,172.20.1.27
1.08E-05,10.0.0.7,172.30.2.23
1.08E-05,10.0.0.7,172.20.2.19
1.08E-05,10.0.0.7,172.30.1.143
1.08E-05,10.0.0.7,172.10.1.131
1.08E-05,10.0.0.7,172.30.2.112
1.08E-05,10.0.0.7,172.20.2.108
1.08E-05,10.0.0.7,172.10.1.6
1.08E-05,10.0.0.7,172.20.2.105
1.08E-05,10.0.0.7,172.30.1.48
1.08E-05,10.0.0.7,172.10.1.239
1.08E-05,10.0.0.7,172.20.1.120
1.08E-05,10.0.0.7,172.30.1.212
1.08E-05,10.0.0.7,172.20.2.86
1.08E-05,10.0.0.7,172.10.2.130
1.08E-05,10.0.0.7,172.10.2.65
1.08E-05,10.0.0.7,172.10.1.76
1.08E-05,10.0.0.7,172.30.2.67
1.08E-05,10.0.0.7,172.10.1.242
1.08E-05,10.0.0.7,172.20.1.32
1.08E-05,10.0.0.7,172.30.1.41
1.08E-05,10.0.0.7,172.10.1.230
1.08E-05,10.0.0.7,172.10.1.152
1.08E-05,10.0.0.7,172.10.2.51
1.08E-05,10.0.0.7,172.30.2.141
1.08E-05,10.0.0.7,172.10.1.39
1.08E-05,10.0.0.7,172.20.2.20
1.08E-05,10.0.0.7,172.30.1.181
1.08E-05,10.0.0.7,172.10.2.14
1.08E-05,10.0.0.7,172.10.2.42
1.08E-05,10.0.0.7,172.10.1.225
1.08E-05,10.0.0.7,172.20.1.55
1.08E-05,10.0.0.7,172.20.2.35
1.08E-05,10.0.0.7,172.20.1.205
1.08E-05,10.0.0.7,172.20.1.233
1.08E-05,10.0.0.7,172.20.1.162
1.08E-05,10.0.0.7,172.10.2.147
1.08E-05,10.0.0.7,172.10.1.140
1.08E-05,10.0.0.7,172.10.2.89
1.08E-05,10.0.0.7,172.10.2.63
1.08E-05,10.0.0.7,172.20.1.222
1.08E-05,10.0.0.7,172.20.1.251
1.08E-05,10.0.0.7,172.10.1.204
1.08E-05,10.0.0.7,172.20.2.81
1.08E-05,10.0.0.7,172.20.1.181
1.08E-05,10.0.0.7,172.10.1.144
1.08E-05,10.0.0.7,172.30.1.80
1.08E-05,10.0.0.7,172.10.1.195
1.08E-05,10.0.0.7,172.30.1.160
1.08E-05,10.0.0.7,172.20.2.4
1.08E-05,10.0.0.7,172.30.1.47
1.08E-05,10.0.0.7,172.10.1.240
1.08E-05,10.0.0.7,172.30.1.150
1.08E-05,10.0.0.7,172.30.1.134
1.08E-05,10.0.0.7,172.10.2.146
1.08E-05,10.0.0.7,172.20.1.21
1.08E-05,10.0.0.7,172.10.1.163
1.08E-05,10.0.0.7,172.10.1.8
1.08E-05,10.0.0.7,172.10.1.191
1.08E-05,10.0.0.7,172.10.2.128
1.08E-05,10.0.0.7,172.20.1.62
1.08E-05,10.0.0.7,172.20.1.115
1.08E-05,10.0.0.7,172.10.2.58
1.08E-05,10.0.0.7,172.30.2.8
1.08E-05,10.0.0.7,172.20.1.231
1.08E-05,10.0.0.7,172.10.1.13
1.08E-05,10.0.0.7,172.30.1.72
1.08E-05,10.0.0.7,172.10.2.40
1.08E-05,10.0.0.7,172.20.2.95
1.08E-05,10.0.0.7,172.10.1.72
1.08E-05,10.0.0.7,172.10.1.86
1.08E-05,10.0.0.7,172.30.1.182
1.08E-05,10.0.0.7,172.30.1.66
1.08E-05,10.0.0.7,172.20.1.189
1.08E-05,10.0.0.7,172.10.2.21
1.08E-05,10.0.0.7,172.10.1.11
1.08E-05,10.0.0.7,172.10.1.206
1.08E-05,10.0.0.7,172.20.1.252
1.08E-05,10.0.0.7,172.20.2.98
1.08E-05,10.0.0.7,172.30.1.133
1.08E-05,10.0.0.7,172.20.1.241
1.08E-05,10.0.0.7,172.30.2.69
1.08E-05,10.0.0.7,172.10.2.2
1.08E-05,10.0.0.7,172.20.2.7
1.08E-05,10.0.0.7,172.10.1.79
1.08E-05,10.0.0.7,172.20.1.4
1.08E-05,10.0.0.7,172.30.1.110
1.08E-05,10.0.0.7,172.30.2.1
1.08E-05,10.0.0.7,172.10.2.25
1.08E-05,10.0.0.7,172.10.2.103
1.08E-05,10.0.0.7,172.30.2.46
1.08E-05,10.0.0.7,172.20.1.161
1.08E-05,10.0.0.7,172.10.1.59
1.08E-05,10.0.0.7,172.20.2.14
1.08E-05,10.0.0.7,172.30.1.234
1.08E-05,10.0.0.7,172.30.1.89
1.08E-05,10.0.0.7,172.20.2.96
1.08E-05,10.0.0.7,172.10.1.54
1.08E-05,10.0.0.7,172.20.2.8
1.08E-05,10.0.0.7,172.10.2.70
1.08E-05,10.0.0.7,172.30.1.55
1.08E-05,10.0.0.7,172.30.2.146
1.08E-05,10.0.0.7,172.20.1.19
1.08E-05,10.0.0.7,172.30.1.95
1.08E-05,10.0.0.7,172.30.1.53
1.08E-05,10.0.0.7,172.30.1.77
1.08E-05,10.0.0.7,172.20.1.112
1.08E-05,10.0.0.7,172.30.1.229
1.08E-05,10.0.0.7,172.30.1.202
1.08E-05,10.0.0.7,172.30.1.238
1.08E-05,10.0.0.7,172.10.1.90
1.08E-05,10.0.0.7,172.20.2.11
1.08E-05,10.0.0.7,172.30.1.58
1.08E-05,10.0.0.7,172.20.1.31
1.08E-05,10.0.0.7,172.10.1.82
1.08E-05,10.0.0.7,172.10.1.132
1.08E-05,10.0.0.7,172.20.2.1
1.08E-05,10.0.0.7,172.30.1.213
1.08E-05,10.0.0.7,172.30.1.184
1.08E-05,10.0.0.7,172.30.1.14
1.08E-05,10.0.0.7,172.20.1.51
1.08E-05,10.0.0.7,172.30.2.132
1.08E-05,10.0.0.7,172.10.2.22
1.08E-05,10.0.0.7,172.10.2.121
1.08E-05,10.0.0.7,172.20.1.248
1.08E-05,10.0.0.7,172.20.1.79
1.08E-05,10.0.0.7,172.10.2.55
1.08E-05,10.0.0.7,172.20.2.56
1.08E-05,10.0.0.7,172.10.1.227
1.08E-05,10.0.0.7,172.30.1.92
1.08E-05,10.0.0.7,172.30.1.248
1.08E-05,10.0.0.7,172.30.2.101
1.08E-05,10.0.0.7,172.10.1.247
1.08E-05,10.0.0.7,172.30.2.33
1.08E-05,10.0.0.7,172.30.1.249
1.08E-05,10.0.0.7,172.10.2.90
1.08E-05,10.0.0.7,172.10.1.25
1.08E-05,10.0.0.7,172.10.1.184
1.08E-05,10.0.0.7,172.30.1.172
1.08E-05,10.0.0.7,172.30.1.241
1.08E-05,10.0.0.7,172.10.1.175
1.08E-05,10.0.0.7,172.10.2.53
1.08E-05,10.0.0.7,172.30.1.115
1.08E-05,10.0.0.7,172.30.1.194
1.08E-05,10.0.0.7,172.20.1.68
1.08E-05,10.0.0.7,172.30.1.243
1.08E-05,10.0.0.7,172.30.1.250
1.08E-05,10.0.0.7,172.10.1.235
1.08E-05,10.0.0.7,172.30.1.233
1.08E-05,10.0.0.7,172.20.2.21
1.08E-05,10.0.0.7,172.20.1.71
1.08E-05,10.0.0.7,172.10.2.113
1.08E-05,10.0.0.7,172.10.1.33
1.08E-05,10.0.0.7,172.30.1.2
1.08E-05,10.0.0.7,172.20.2.3
1.08E-05,10.0.0.7,172.10.1.188
1.08E-05,10.0.0.7,172.10.2.112
